date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:19:46	58920/58920	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26d3-e628%22	https://thunder-team.com/friend-finder/fonts/agency-fb.ttf	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/agency-fb.ttf	(from https://thunder-team.com/friend-finder/css/style.css)
08:19:47	35187/35187	---M--	200	added ('OK')	image/png	etag:%225a8c26ea-8973%22	https://thunder-team.com/friend-finder/images/blur.png	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/images/blur.png	(from https://thunder-team.com/friend-finder/css/style.css)
08:19:48	902831/902831	---M--	200	added ('OK')	image/jpeg	etag:%225a8c2bbc-dc6af%22	https://thunder-team.com/friend-finder/images/bg/bg-1.jpg	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/images/bg/bg-1.jpg	(from https://thunder-team.com/friend-finder/css/style.css)
08:19:48	270861/270861	---M--	200	added ('OK')	image/jpeg	etag:%225a8c2bba-4220d%22	https://thunder-team.com/friend-finder/images/bg/bg-2.jpg	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/images/bg/bg-2.jpg	(from https://thunder-team.com/friend-finder/css/style.css)
08:19:51	256537/256537	---M--	200	added ('OK')	image/jpeg	etag:%225a8c2bca-3ea19%22	https://thunder-team.com/friend-finder/images/bg/bg-5.jpg	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/images/bg/bg-5.jpg	(from https://thunder-team.com/friend-finder/css/style.css)
08:19:51	413052/413052	---M--	200	added ('OK')	image/jpeg	etag:%225a8c2bd6-64d7c%22	https://thunder-team.com/friend-finder/images/covers/1.jpg	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/images/covers/1.jpg	(from https://thunder-team.com/friend-finder/css/style.css)
08:19:51	610471/610471	---M--	200	added ('OK')	image/jpeg	etag:%225a8c2bc3-950a7%22	https://thunder-team.com/friend-finder/images/bg/bg-3.jpg	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/images/bg/bg-3.jpg	(from https://thunder-team.com/friend-finder/css/style.css)
08:19:51	1567094/1567094	---M--	200	added ('OK')	image/jpeg	etag:%225a8c2bc9-17e976%22	https://thunder-team.com/friend-finder/images/bg/bg-4.jpg	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/images/bg/bg-4.jpg	(from https://thunder-team.com/friend-finder/css/style.css)
08:19:51	120724/120724	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26e0-1d794%22	https://thunder-team.com/friend-finder/fonts/ionicons.eot?v=2.0.0	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/ionicons28b5.eot	(from https://thunder-team.com/friend-finder/css/ionicons.min.css)
08:19:51	67904/67904	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26e4-10940%22	https://thunder-team.com/friend-finder/fonts/ionicons.woff?v=2.0.0	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/ionicons28b5.woff	(from https://thunder-team.com/friend-finder/css/ionicons.min.css)
